Target	total_coverage	average_coverage
chr1:24078897-24079009	6716	77.4457945009389
chr1:24080590-24080746	8882	63.306417549466
chr1:24080853-24080951	5580	63.0714105194962
chr1:24082333-24082514	8397	52.1113204628049
chr1:24082764-24082876	1136	13.036384614097
chr1:24083443-24083616	1207	9.48875659271084
chr1:24086002-24086064	3467	62.5659944427038
chr1:24122439-24122498	1025	23.3527323636169
chr1:24122641-24122756	2687	32.6012800215924
chr1:24122999-24123077	1314	21.671269772011
chr1:24123187-24123273	3493	52.3211955108985
chr1:24123366-24123433	4215	84.7561990176002
chr1:24123524-24123638	3249	38.0436219491684
chr1:24124185-24124362	5019	38.5566190078452
chr1:24124607-24124721	5561	63.020000371284
chr1:24125105-24125221	7089	84.8340438941283
chr1:24125377-24125498	7580	83.6690347505073
chr1:24128953-24129055	3072	33.6905220937467
chr1:24130890-24131016	3135	33.2494522451316
chr1:24134625-24134814	3677	26.0581976890764
chr1:24137226-24137290	1321	25.3023855736153
chr1:24140680-24140829	9029	71.0646462409813
chr1:24143165-24143261	3928	48.8028268852582
chr1:24143966-24144074	3201	32.86741176291
chr1:24147000-24147084	4311	57.3989208463054
chr1:24151846-24151906	2036	49.4545438432909
chr1:25666978-25667071	5085	61.1014832474587
chr1:25669452-25669565	6492	63.7316683656017
chr1:25678117-25678185	2978	48.2995400642558
chr1:25679373-25679466	6486	77.2165955614841
chr1:25683284-25683345	1023	21.3878937068366
chr1:25687151-25687197	2598	62.4341958210632
chr1:26517119-26517332	1924	12.4635098220579
chr1:26517778-26517922	2568	24.2141036393241
chr1:26520278-26520380	6452	70.0992397966864
chr1:26524177-26524275	2706	30.5844863289182
chr1:26524448-26524569	2488	28.2681830113193
chr1:26524777-26524911	7716	67.4872101534223
chr1:26526375-26526550	6020	40.069465275106
chr1:26527321-26527533	9548	58.151355447758
chr1:26527845-26528011	6672	52.0605668906699
chr1:26528980-26529034	1458	29.6668398309412
chr1:26566275-26566330	1794	38.617993909698
chr1:26570657-26570810	6345	53.6894957670988
chr1:26581662-26582357	42619	73.80086663829
chr1:26584088-26584222	4257	35.6819395560727
chr1:26584634-26584752	4217	48.4555523985119
chr1:26586108-26586294	3724	22.280904603321
chr1:26594974-26595127	2705	20.5736786617211
chr1:26595951-26596106	5061	39.1001161807305
chr1:26597505-26597599	2242	28.4452139909137
chr1:26598512-26598563	593	13.4596605274495
chr1:26601455-26601563	3120	40.0717995750116
chr1:26603026-26603252	7736	45.8947481779702
chr1:26603624-26603785	11085	80.1740792039621
chr1:26644509-26644563	2887	63.6955268216672
chr1:26646662-26646794	7847	69.1256857085162
chr1:28052592-28052673	222	3.99245888294614
chr1:28053983-28054048	1365	26.0692210029447
chr1:28056743-28056845	0	0
chr1:28059114-28059169	2669	54.1867216997867
chr1:28060542-28060695	9148	66.4734170485819
chr1:28071165-28071323	5386	40.8237032996714
chr1:28075579-28075666	1898	27.9598101367555
chr1:28081706-28081842	5267	43.4261003856708
chr1:28086037-28086139	3898	42.3460286383559
chr1:28087006-28087093	3187	43.656171641987
chr1:31186429-31186479	507	12.061983932318
chr1:31187094-31187175	2471	41.7714739642496
chr1:31188004-31188157	6585	51.5388707733673
chr1:31188756-31189173	24975	77.8628002933047
chr1:31189637-31189763	1607	17.8000000176192
chr1:31191582-31191805	1864	11.9923984059937
chr1:31194252-31194599	16055	64.6021255203017
chr1:31196305-31196399	1092	16.5616175102005
chr1:32193021-32193207	2259	17.0044672996907
chr1:32193626-32193683	409	12.3563555659399
chr1:32193783-32193882	3404	45.8408811026439
chr1:32194199-32194235	784	23.7133284050413
chr1:32196401-32197021	14587	33.8583459803838
chr1:32197716-32197756	1210	33.0240831162231
chr1:32198118-32198214	1689	24.1367859846527
chr1:32198573-32198745	1346	10.9515526151981
chr1:32200784-32200883	213	5.4564112271644
chr1:32201181-32201267	6783	94.6149785918344
chr1:32201428-32201495	2819	61.0802012128956
chr1:32201922-32201992	4287	81.3123502049836
chr1:32202174-32202325	2086	19.3130208072646
chr1:32203030-32203133	4463	52.0703954261333
chr1:32203253-32203357	3248	45.5670676197506
chr1:32203801-32203928	2282	24.9643671007147
chr1:32204188-32204232	1163	37.2456219724614
chr1:32204433-32204539	3180	41.835494051888
chr1:32204909-32205237	12872	56.3873348127975
chr1:32205527-32205636	3470	41.1141648410672
chr1:32205711-32205780	1799	33.3368243365465
chr1:32205948-32206143	2323	16.5915731992972
chr1:32206974-32207081	2684	34.9802162580557
chr1:32207225-32207327	4891	61.6017816242255
chr1:32207401-32207569	8625	71.8466896503487
chr1:32207654-32207819	2441	21.7789632862905
chr1:32208439-32208604	1806	25.2765195613251
chr1:32209794-32209959	5065	50.3696184899628
chr1:32210249-32210333	1342	21.5889721324069
chr1:32221600-32222417	25652	44.3140939676262
chr1:32222802-32222823	462	23.5007029969734
chr1:32800198-32800699	14616	40.7718659547287
chr1:32801548-32801635	0	0
chr1:33241582-33241693	1295	13.1859766515984
chr1:33244983-33245125	7265	64.0385119414696
chr1:33245686-33245880	2671	17.7709919615054
chr1:33246649-33246747	4053	51.6089897418064
chr1:33248005-33248141	4206	35.9687890042618
chr1:33251963-33252049	5277	68.6478418481247
chr1:33252541-33252677	7151	58.9555901204685
chr1:33256763-33256856	5465	65.6643296859011
chr1:33263364-33263445	2054	28.480431778843
chr1:33272083-33272213	3320	31.9436199330086
chr1:33276192-33276368	11467	73.1749556303669
chr1:33276512-33276659	10251	81.7733410641363
chr1:33282789-33282846	2107	50.366997979462
chr1:34329793-34330354	26037	52.4308360175341
chr1:40420965-40421058	3462	54.5659331859917
chr1:40422759-40422894	6409	55.6450702332189
chr1:40424334-40424498	2350	19.4697253429686
chr1:40430883-40431007	4569	45.5119189328562
chr1:40431143-40431222	5229	85.173433090718
chr1:40431529-40431687	1937	15.7993198606668
chr1:40432273-40432364	4054	55.5546697098536
chr1:40432483-40432605	5363	54.9621874143321
chr1:40432758-40432842	2394	33.2477228467525
chr1:40433300-40433384	7688	106.791780237527
chr1:40433476-40433589	1858	19.7797120821714
chr1:40434006-40434150	9982	82.973242844682
chr1:40434241-40434418	8032	58.7978167235801
chr1:40435177-40435241	241	5.14345066071577
chr1:40627072-40627309	5271	31.92687796788
chr1:40654727-40654882	5673	40.7009794285677
chr1:40656444-40656526	4545	61.2808807673459
chr1:40661304-40661437	3811	32.334669851908
chr1:40668084-40668287	2851	18.1213790316107
chr1:40688246-40688383	2830	22.9523532603774
chr1:40697189-40697331	6581	53.3388205761846
chr1:40701464-40706120	262657	65.3696106148807
chr1:43803520-43803599	1195	21.0303593921671
chr1:43803770-43803903	9204	89.5128996175247
chr1:43804213-43804392	7886	57.0906992610825
chr1:43804942-43805241	14683	66.9135083065229
chr1:43805635-43805798	2753	23.62545456884
chr1:43806058-43806185	3526	34.7295473225883
chr1:43812116-43812301	9236	61.8364403339436
chr1:43812463-43812606	4847	46.0218367306408
chr1:43814514-43814674	2454	26.7107601170105
chr1:43814934-43815031	3563	51.1823204484067
chr1:43817887-43817975	2254	35.793239802295
chr1:43818189-43818444	12347	64.9502260746333
chr1:44440713-44440780	1014	24.6152412876219
chr1:44441472-44441521	2665	60.7969338693941
chr1:44441762-44441846	3944	64.3277926299762
chr1:44441974-44442052	1970	32.3509882861273
chr1:44442262-44442332	3897	64.3103201447535
chr1:44442445-44442497	701	18.3417391485902
chr1:44442698-44442889	11754	82.4435587868349
chr1:44443653-44443680	2780	117.228920506181
chr1:45792821-45793937	46183	58.4307329579511
chr1:46027467-46027551	4963	76.09052567575
chr1:46032241-46032361	3797	39.5576477307739
chr1:46032541-46032693	672	6.0861855527068
chr1:46033654-46033850	7588	52.6667008575247
chr1:46034157-46034357	1521	9.54274675978198
chr1:46034599-46034672	4709	75.1379645584989
chr1:46034815-46034902	8635	109.815427861571
chr1:46035563-46035629	1400	27.1104913865301
chr1:46654391-46654653	14789	72.9388962040471
chr1:46654914-46655030	3694	44.4396550207976
chr1:46655130-46655240	1272	15.8878556797312
chr1:46655526-46655662	4499	40.8922412518467
chr1:46656145-46656190	2521	61.3256440111496
chr1:46656392-46656457	2103	39.6719490342216
chr1:46657770-46657896	7536	77.328511621836
chr1:46657980-46658109	5028	53.6249788561957
chr1:46658190-46658263	2015	34.3261551213822
chr1:46658572-46658631	2523	49.6472565946712
chr1:46658846-46658888	1709	51.5488482153447
chr1:46658977-46659061	5607	85.9553189514039
chr1:46659236-46659312	1628	25.4801620240642
chr1:46659527-46659598	3124	54.6974612822906
chr1:46659946-46660074	3033	32.917121174302
chr1:46660225-46660324	5843	75.7926321394714
chr1:46660516-46660634	2949	35.0160474654904
chr1:46661483-46661597	2964	33.4276250254009
chr1:46661684-46661750	1221	26.8422881355272
chr1:46662403-46662522	2898	34.034037682555
chr1:46662642-46662757	5563	58.1984657337999
chr1:46663374-46663494	2824	31.4314384528704
chr1:46769439-46769493	2244	51.4325056537787
chr1:46774773-46774800	605	25.5143214033495
chr1:46775827-46775989	2306	17.1707316541549
chr1:46782224-46782257	0	0
chr1:47024247-47024473	4916	30.4781027969669
chr1:47025906-47025950	1402	43.845691743005
chr1:47027150-47027315	5483	41.6376387682429
chr1:47028321-47028516	3984	28.6176175664496
chr1:47030713-47030809	2852	35.435986920884
chr1:47034115-47034171	3067	62.3677082834527
chr1:47037089-47037212	1364	15.2501232527961
chr1:47037735-47037840	4241	50.4366311570511
chr1:47040619-47040693	2124	32.8238895853444
chr1:47042247-47042327	4948	73.6321238434286
chr1:47046202-47046300	2508	28.8928017807083
chr1:47048900-47049002	2617	35.2277847139589
chr1:47059785-47059819	767	30.204246880542
chr1:62672301-62673309	30567	41.7565786404207
chr1:62675455-62677045	64833	45.6025546250793
chr1:67878890-67878947	0	0
chr1:67880849-67881023	2702	21.1104325347918
chr1:67885692-67885870	2406	15.040449918063
chr1:67889883-67890006	1221	11.7544652318551
chr1:67890571-67890661	1629	20.2571112608215
chr1:67890766-67890907	3212	27.4489010612709
chr1:67891818-67891969	1868	13.7535066587049
chr1:67895671-67895984	135	0.605059289136462
chr1:75596400-75596418	577	36.8533653948187
chr1:75602288-75602375	2274	42.6598145454159
chr1:75602785-75602947	5020	45.6321135522276
chr1:75606670-75606792	4615	41.9879226879258
chr1:75608803-75609024	7409	37.68865981456
chr1:75609530-75609634	2999	33.4615183700885
chr1:75614272-75614368	4057	47.7022096513708
chr1:75622578-75622762	7060	45.0544426076731
chr1:75626504-75626581	6630	95.1218930829876
chr1:78031325-78031470	3549	27.6390936743981
chr1:78031766-78031867	2917	32.3661107295807
chr1:78034017-78034152	2955	31.2233444339103
chr1:78041753-78041906	5994	43.5546362210574
chr1:78044459-78044555	2119	24.4519219278033
chr1:78045212-78045314	8543	92.816586027094
chr1:78046683-78046755	3222	49.3962395374479
chr1:78047461-78047577	2009	19.2146224027635
chr1:78047664-78047812	955	7.91720861565409
chr1:78050202-78050341	3920	31.3342706626312
chr1:78097535-78099040	115604	85.9006648594133
chr1:78381792-78381819	908	36.8710739556039
chr1:78383251-78383443	6942	40.8958535363266
chr1:78383645-78383724	1955	37.6146091706771
chr1:78383810-78383959	5908	44.0806043357515
chr1:78390873-78390915	385	10.015775801091
chr1:78392099-78392297	4857	35.0741756848482
chr1:78392401-78392578	5348	34.1537792669239
chr1:78395001-78395190	2618	15.9715112459762
chr1:78398967-78399165	1842	11.4373403714441
chr1:78401508-78401730	5056	31.2519523862112
chr1:78407708-78407894	7757	49.5000221134367
chr1:78408146-78408515	16408	49.6312465674176
chr1:95657106-95657425	19326	72.0662086651504
chr1:101004523-101005678	12450	27.5894595852397
chr1:108679275-108679460	5548	33.3821890666532
chr1:108681680-108681831	2673	21.2013268686513
chr1:108686165-108686333	5972	39.548325900621
chr1:108690901-108691009	4932	55.8898112103506
chr1:108697605-108697758	11866	86.2251983769905
chr1:108700084-108700243	6058	43.1852141894045
chr1:108703804-108703916	2533	25.9855792550643
chr1:108724563-108724651	3455	43.442728111548
chr1:108728450-108728577	538	7.37532833164948
chr1:108735118-108735244	8386	77.3621869039547
chr1:108742578-108742761	4805	43.1055633816103
chr1:109358793-109358925	8439	72.139057739225
chr1:109359670-109359800	2362	20.1770321445443
chr1:109363167-109363249	2646	36.2457550941922
chr1:109365992-109366100	5867	64.2378541554073
chr1:109366188-109366311	7615	68.7227700497208
chr1:109369827-109369925	1737	19.6398732188992
chr1:109373181-109373273	4420	65.8943962004907
chr1:109377069-109377151	971	14.1020764276987
chr1:109377551-109377679	1483	17.0379644756694
chr1:109380172-109380329	3164	22.4151943347323
chr1:109385756-109385890	3486	30.4849504226971
chr1:109391374-109391437	1309	24.4039405067449
chr1:109391534-109391683	6555	49.6844258976223
chr1:109392159-109392199	1556	42.8613916680418
chr1:109394294-109395287	60009	67.5589257108231
chr1:110453646-110453685	150	73.5631249275008
chr1:110456881-110457004	4559	50.9770029095738
chr1:110458256-110458319	3963	69.2935014082187
chr1:110459915-110460086	5849	38.793690823604
chr1:110464469-110464617	2472	18.565555367609
chr1:110465788-110466813	65983	90.5262658976083
chr1:110467398-110467451	961	24.6774721727064
chr1:110467769-110467812	1154	34.1814435429855
chr1:111690337-111690676	21759	71.6211900860142
chr1:111702002-111702150	5526	41.5067178170354
chr1:111703777-111703919	14131	110.587593817186
chr1:111717501-111717586	3732	49.3433428823068
chr1:111724809-111724941	2769	24.845478794642
chr1:111725421-111725580	2830	21.8495195648862
chr1:111726084-111726210	3033	27.1502080191126
chr1:111726813-111726933	6347	60.7914198005407
chr1:113068635-113068734	1824	22.9933554687481
chr1:113084534-113084713	7418	49.1778184979442
chr1:113093223-113093316	3444	41.0031313242431
chr1:113098490-113098641	7076	53.9531094702606
chr1:113119608-113119711	2229	23.9819078678638
chr1:113120967-113121040	1849	27.9658365663984
chr1:113124614-113124729	7182	73.8800956857007
chr1:113124997-113125095	317	4.92498974411484
chr1:113126594-113126749	3038	21.7885089214796
chr1:113134147-113134226	1565	21.8892262200381
chr1:113140593-113140709	4058	38.8097323778589
chr1:113143416-113143471	726	14.7347862616289
chr1:113153463-113153626	8039	54.8573552815065
chr1:113159435-113159518	1891	31.0313828060703
chr1:113161531-113161736	6065	43.3719518501603
chr1:114483006-114484082	58130	61.5611730005854
